"Notes"	"State"	"State Code"	"Year"	"Year Code"	Deaths	Population	Crude Rate
	"Delaware"	"10"	"1999"	"1999"	86	774990	11.1
	"Delaware"	"10"	"2000"	"2000"	82	783600	10.5
	"Delaware"	"10"	"2001"	"2001"	108	795699	13.6
	"Delaware"	"10"	"2002"	"2002"	74	806169	9.2
	"Delaware"	"10"	"2003"	"2003"	94	818003	11.5
	"Delaware"	"10"	"2004"	"2004"	93	830803	11.2
	"Delaware"	"10"	"2005"	"2005"	83	845150	9.8
	"Delaware"	"10"	"2006"	"2006"	91	859268	10.6
	"Delaware"	"10"	"2007"	"2007"	95	871749	10.9
	"Delaware"	"10"	"2008"	"2008"	109	883874	12.3
	"Delaware"	"10"	"2009"	"2009"	107	891730	12.0
	"Delaware"	"10"	"2010"	"2010"	106	897934	11.8
	"Delaware"	"10"	"2011"	"2011"	105	907135	11.6
	"Delaware"	"10"	"2012"	"2012"	125	917092	13.6
	"Delaware"	"10"	"2013"	"2013"	122	925749	13.2
	"Delaware"	"10"	"2014"	"2014"	126	935614	13.5
	"Delaware"	"10"	"2015"	"2015"	122	945934	12.9
	"Delaware"	"10"	"2016"	"2016"	119	952065	12.5
	"District of Columbia"	"11"	"1999"	"1999"	30	570213	5.3
	"District of Columbia"	"11"	"2000"	"2000"	23	572059	4.0
	"District of Columbia"	"11"	"2001"	"2001"	40	574504	7.0
	"District of Columbia"	"11"	"2002"	"2002"	31	573158	5.4
	"District of Columbia"	"11"	"2003"	"2003"	36	568502	6.3
	"District of Columbia"	"11"	"2004"	"2004"	33	567754	5.8
	"District of Columbia"	"11"	"2005"	"2005"	33	567136	5.8
	"District of Columbia"	"11"	"2006"	"2006"	30	570681	5.3
	"District of Columbia"	"11"	"2007"	"2007"	36	574404	6.3
	"District of Columbia"	"11"	"2008"	"2008"	43	580236	7.4
	"District of Columbia"	"11"	"2009"	"2009"	29	592228	4.9
	"District of Columbia"	"11"	"2010"	"2010"	41	601723	6.8
	"District of Columbia"	"11"	"2011"	"2011"	37	617996	6.0
	"District of Columbia"	"11"	"2012"	"2012"	37	632323	5.9
	"District of Columbia"	"11"	"2013"	"2013"	38	646449	5.9
	"District of Columbia"	"11"	"2014"	"2014"	52	658893	7.9
	"District of Columbia"	"11"	"2015"	"2015"	34	672228	5.1
	"District of Columbia"	"11"	"2016"	"2016"	40	681170	5.9
	"Florida"	"12"	"1999"	"1999"	2029	15759421	12.9
	"Florida"	"12"	"2000"	"2000"	2086	15982378	13.1
	"Florida"	"12"	"2001"	"2001"	2314	16356966	14.1
	"Florida"	"12"	"2002"	"2002"	2338	16689370	14.0
	"Florida"	"12"	"2003"	"2003"	2297	17004085	13.5
	"Florida"	"12"	"2004"	"2004"	2389	17415318	13.7
	"Florida"	"12"	"2005"	"2005"	2347	17842038	13.2
	"Florida"	"12"	"2006"	"2006"	2440	18166990	13.4
	"Florida"	"12"	"2007"	"2007"	2587	18367842	14.1
	"Florida"	"12"	"2008"	"2008"	2740	18527305	14.8
	"Florida"	"12"	"2009"	"2009"	2858	18652644	15.3
	"Florida"	"12"	"2010"	"2010"	2789	18801310	14.8
	"Florida"	"12"	"2011"	"2011"	2880	19057542	15.1
	"Florida"	"12"	"2012"	"2012"	3002	19317568	15.5
	"Florida"	"12"	"2013"	"2013"	2928	19552860	15.0
	"Florida"	"12"	"2014"	"2014"	3035	19893297	15.3
	"Florida"	"12"	"2015"	"2015"	3205	20271272	15.8
	"Florida"	"12"	"2016"	"2016"	3143	20612439	15.2
	"Georgia"	"13"	"1999"	"1999"	873	8045965	10.9
	"Georgia"	"13"	"2000"	"2000"	847	8186453	10.3
	"Georgia"	"13"	"2001"	"2001"	935	8377038	11.2
	"Georgia"	"13"	"2002"	"2002"	909	8508256	10.7
	"Georgia"	"13"	"2003"	"2003"	972	8622793	11.3
	"Georgia"	"13"	"2004"	"2004"	973	8769252	11.1
	"Georgia"	"13"	"2005"	"2005"	924	8925922	10.4
	"Georgia"	"13"	"2006"	"2006"	923	9155813	10.1
	"Georgia"	"13"	"2007"	"2007"	997	9349988	10.7
	"Georgia"	"13"	"2008"	"2008"	981	9504843	10.3
	"Georgia"	"13"	"2009"	"2009"	1134	9620846	11.8
	"Georgia"	"13"	"2010"	"2010"	1133	9687653	11.7
	"Georgia"	"13"	"2011"	"2011"	1157	9815210	11.8
	"Georgia"	"13"	"2012"	"2012"	1168	9919945	11.8
	"Georgia"	"13"	"2013"	"2013"	1212	9992167	12.1
	"Georgia"	"13"	"2014"	"2014"	1295	10097343	12.8
	"Georgia"	"13"	"2015"	"2015"	1317	10214860	12.9
	"Georgia"	"13"	"2016"	"2016"	1409	10310371	13.7
	"Hawaii"	"15"	"1999"	"1999"	136	1210300	11.2
	"Hawaii"	"15"	"2000"	"2000"	137	1211537	11.3
	"Hawaii"	"15"	"2001"	"2001"	136	1225948	11.1
	"Hawaii"	"15"	"2002"	"2002"	120	1239613	9.7
	"Hawaii"	"15"	"2003"	"2003"	131	1251154	10.5
	"Hawaii"	"15"	"2004"	"2004"	116	1273569	9.1
	"Hawaii"	"15"	"2005"	"2005"	107	1292729	8.3
	"Hawaii"	"15"	"2006"	"2006"	120	1309731	9.2
	"Hawaii"	"15"	"2007"	"2007"	133	1315675	10.1
	"Hawaii"	"15"	"2008"	"2008"	133	1332213	10.0
	"Hawaii"	"15"	"2009"	"2009"	175	1346717	13.0
	"Hawaii"	"15"	"2010"	"2010"	207	1360301	15.2
	"Hawaii"	"15"	"2011"	"2011"	181	1374810	13.2
	"Hawaii"	"15"	"2012"	"2012"	190	1392313	13.6
	"Hawaii"	"15"	"2013"	"2013"	171	1404054	12.2
	"Hawaii"	"15"	"2014"	"2014"	204	1419561	14.4
	"Hawaii"	"15"	"2015"	"2015"	201	1431603	14.0
	"Hawaii"	"15"	"2016"	"2016"	174	1428557	12.2
	"Idaho"	"16"	"1999"	"1999"	181	1275674	14.2
	"Idaho"	"16"	"2000"	"2000"	167	1293953	12.9
	"Idaho"	"16"	"2001"	"2001"	210	1319962	15.9
	"Idaho"	"16"	"2002"	"2002"	202	1340372	15.1
	"Idaho"	"16"	"2003"	"2003"	217	1363380	15.9
	"Idaho"	"16"	"2004"	"2004"	236	1391802	17.0
	"Idaho"	"16"	"2005"	"2005"	228	1428241	16.0
	"Idaho"	"16"	"2006"	"2006"	222	1468669	15.1
	"Idaho"	"16"	"2007"	"2007"	223	1505105	14.8
	"Idaho"	"16"	"2008"	"2008"	252	1534320	16.4
	"Idaho"	"16"	"2009"	"2009"	304	1554439	19.6
	"Idaho"	"16"	"2010"	"2010"	290	1567582	18.5
	"Idaho"	"16"	"2011"	"2011"	281	1584985	17.7
	"Idaho"	"16"	"2012"	"2012"	297	1595728	18.6
	"Idaho"	"16"	"2013"	"2013"	308	1612136	19.1
	"Idaho"	"16"	"2014"	"2014"	320	1634464	19.6
	"Idaho"	"16"	"2015"	"2015"	359	1654930	21.7
	"Idaho"	"16"	"2016"	"2016"	351	1683140	20.9
	"Illinois"	"17"	"1999"	"1999"	1020	12359020	8.3
	"Illinois"	"17"	"2000"	"2000"	1003	12419293	8.1
	"Illinois"	"17"	"2001"	"2001"	1139	12488445	9.1
	"Illinois"	"17"	"2002"	"2002"	1145	12525556	9.1
	"Illinois"	"17"	"2003"	"2003"	1011	12556006	8.1
	"Illinois"	"17"	"2004"	"2004"	1028	12589773	8.2
	"Illinois"	"17"	"2005"	"2005"	1086	12609903	8.6
	"Illinois"	"17"	"2006"	"2006"	1010	12643955	8.0
	"Illinois"	"17"	"2007"	"2007"	1108	12695866	8.7
	"Illinois"	"17"	"2008"	"2008"	1198	12747038	9.4
	"Illinois"	"17"	"2009"	"2009"	1177	12796778	9.2
	"Illinois"	"17"	"2010"	"2010"	1178	12830632	9.2
	"Illinois"	"17"	"2011"	"2011"	1226	12869257	9.5
	"Illinois"	"17"	"2012"	"2012"	1292	12875255	10.0
	"Illinois"	"17"	"2013"	"2013"	1321	12882135	10.3
	"Illinois"	"17"	"2014"	"2014"	1398	12880580	10.9
	"Illinois"	"17"	"2015"	"2015"	1363	12859995	10.6
	"Illinois"	"17"	"2016"	"2016"	1415	12801539	11.1
	"Indiana"	"18"	"1999"	"1999"	628	6044969	10.4
	"Indiana"	"18"	"2000"	"2000"	683	6080485	11.2
	"Indiana"	"18"	"2001"	"2001"	715	6127760	11.7
	"Indiana"	"18"	"2002"	"2002"	743	6155967	12.1
	"Indiana"	"18"	"2003"	"2003"	736	6196638	11.9
	"Indiana"	"18"	"2004"	"2004"	704	6233007	11.3
	"Indiana"	"18"	"2005"	"2005"	745	6278616	11.9
	"Indiana"	"18"	"2006"	"2006"	824	6332669	13.0
	"Indiana"	"18"	"2007"	"2007"	790	6379599	12.4
	"Indiana"	"18"	"2008"	"2008"	809	6424806	12.6
	"Indiana"	"18"	"2009"	"2009"	828	6459325	12.8
	"Indiana"	"18"	"2010"	"2010"	864	6483802	13.3
	"Indiana"	"18"	"2011"	"2011"	881	6516922	13.5
	"Indiana"	"18"	"2012"	"2012"	940	6537334	14.4
	"Indiana"	"18"	"2013"	"2013"	944	6570902	14.4
	"Indiana"	"18"	"2014"	"2014"	948	6596855	14.4
	"Indiana"	"18"	"2015"	"2015"	960	6619680	14.5
	"Indiana"	"18"	"2016"	"2016"	1034	6633053	15.6
	"Iowa"	"19"	"1999"	"1999"	305	2917634	10.5
	"Iowa"	"19"	"2000"	"2000"	289	2926324	9.9
	"Iowa"	"19"	"2001"	"2001"	304	2931997	10.4
	"Iowa"	"19"	"2002"	"2002"	314	2934234	10.7
	"Iowa"	"19"	"2003"	"2003"	352	2941999	12.0
	"Iowa"	"19"	"2004"	"2004"	343	2953635	11.6
	"Iowa"	"19"	"2005"	"2005"	333	2964454	11.2
	"Iowa"	"19"	"2006"	"2006"	334	2982644	11.2
	"Iowa"	"19"	"2007"	"2007"	322	2999212	10.7
	"Iowa"	"19"	"2008"	"2008"	380	3016734	12.6
	"Iowa"	"19"	"2009"	"2009"	361	3032870	11.9
	"Iowa"	"19"	"2010"	"2010"	372	3046355	12.2
	"Iowa"	"19"	"2011"	"2011"	422	3062309	13.8
	"Iowa"	"19"	"2012"	"2012"	383	3074186	12.5
	"Iowa"	"19"	"2013"	"2013"	447	3090416	14.5
	"Iowa"	"19"	"2014"	"2014"	407	3107126	13.1
	"Iowa"	"19"	"2015"	"2015"	433	3123899	13.9
	"Iowa"	"19"	"2016"	"2016"	451	3134693	14.4
	"Kansas"	"20"	"1999"	"1999"	299	2678338	11.2
	"Kansas"	"20"	"2000"	"2000"	325	2688418	12.1
	"Kansas"	"20"	"2001"	"2001"	293	2702162	10.8
	"Kansas"	"20"	"2002"	"2002"	345	2713535	12.7
	"Kansas"	"20"	"2003"	"2003"	347	2723004	12.7
	"Kansas"	"20"	"2004"	"2004"	370	2734373	13.5
	"Kansas"	"20"	"2005"	"2005"	362	2745299	13.2
	"Kansas"	"20"	"2006"	"2006"	379	2762931	13.7
	"Kansas"	"20"	"2007"	"2007"	382	2783785	13.7
	"Kansas"	"20"	"2008"	"2008"	337	2808076	12.0
	"Kansas"	"20"	"2009"	"2009"	382	2832704	13.5
	"Kansas"	"20"	"2010"	"2010"	401	2853118	14.1
	"Kansas"	"20"	"2011"	"2011"	394	2871238	13.7
	"Kansas"	"20"	"2012"	"2012"	502	2885905	17.4
	"Kansas"	"20"	"2013"	"2013"	425	2893957	14.7
	"Kansas"	"20"	"2014"	"2014"	455	2904021	15.7
	"Kansas"	"20"	"2015"	"2015"	477	2911641	16.4
	"Kansas"	"20"	"2016"	"2016"	514	2907289	17.7
	"Kentucky"	"21"	"1999"	"1999"	470	4018053	11.7
	"Kentucky"	"21"	"2000"	"2000"	521	4041769	12.9
	"Kentucky"	"21"	"2001"	"2001"	495	4068132	12.2
	"Kentucky"	"21"	"2002"	"2002"	540	4089875	13.2
	"Kentucky"	"21"	"2003"	"2003"	567	4117170	13.8
	"Kentucky"	"21"	"2004"	"2004"	560	4146101	13.5
	"Kentucky"	"21"	"2005"	"2005"	566	4182742	13.5
	"Kentucky"	"21"	"2006"	"2006"	622	4219239	14.7
	"Kentucky"	"21"	"2007"	"2007"	649	4256672	15.2
	"Kentucky"	"21"	"2008"	"2008"	612	4289878	14.3
	"Kentucky"	"21"	"2009"	"2009"	592	4317074	13.7
	"Kentucky"	"21"	"2010"	"2010"	631	4339367	14.5
	"Kentucky"	"21"	"2011"	"2011"	675	4369356	15.4
	"Kentucky"	"21"	"2012"	"2012"	724	4380415	16.5
	"Kentucky"	"21"	"2013"	"2013"	701	4395295	15.9
	"Kentucky"	"21"	"2014"	"2014"	728	4413457	16.5
	"Kentucky"	"21"	"2015"	"2015"	776	4425092	17.5
	"Kentucky"	"21"	"2016"	"2016"	756	4436974	17.0
	"Louisiana"	"22"	"1999"	"1999"	518	4460811	11.6
	"Louisiana"	"22"	"2000"	"2000"	468	4468976	10.5
	"Louisiana"	"22"	"2001"	"2001"	493	4477875	11.0
	"Louisiana"	"22"	"2002"	"2002"	499	4497267	11.1
	"Louisiana"	"22"	"2003"	"2003"	461	4521042	10.2
	"Louisiana"	"22"	"2004"	"2004"	537	4552238	11.8
	"Louisiana"	"22"	"2005"	"2005"	505	4576628	11.0
	"Louisiana"	"22"	"2006"	"2006"	492	4302665	11.4
	"Louisiana"	"22"	"2007"	"2007"	522	4375581	11.9
	"Louisiana"	"22"	"2008"	"2008"	532	4435586	12.0
	"Louisiana"	"22"	"2009"	"2009"	490	4491648	10.9
	"Louisiana"	"22"	"2010"	"2010"	557	4533372	12.3
	"Louisiana"	"22"	"2011"	"2011"	573	4574836	12.5
	"Louisiana"	"22"	"2012"	"2012"	567	4601893	12.3
	"Louisiana"	"22"	"2013"	"2013"	583	4625470	12.6
	"Louisiana"	"22"	"2014"	"2014"	679	4649676	14.6
	"Louisiana"	"22"	"2015"	"2015"	722	4670724	15.5
	"Louisiana"	"22"	"2016"	"2016"	677	4681666	14.5
	"Maine"	"23"	"1999"	"1999"	175	1266808	13.8
	"Maine"	"23"	"2000"	"2000"	154	1274923	12.1
	"Maine"	"23"	"2001"	"2001"	161	1285692	12.5
	"Maine"	"23"	"2002"	"2002"	166	1295960	12.8
	"Maine"	"23"	"2003"	"2003"	137	1306513	10.5
	"Maine"	"23"	"2004"	"2004"	171	1313688	13.0
	"Maine"	"23"	"2005"	"2005"	175	1318787	13.3
	"Maine"	"23"	"2006"	"2006"	158	1323619	11.9
	"Maine"	"23"	"2007"	"2007"	191	1327040	14.4
	"Maine"	"23"	"2008"	"2008"	181	1330509	13.6
	"Maine"	"23"	"2009"	"2009"	197	1329590	14.8
	"Maine"	"23"	"2010"	"2010"	186	1328361	14.0
	"Maine"	"23"	"2011"	"2011"	235	1328188	17.7
	"Maine"	"23"	"2012"	"2012"	209	1329192	15.7
	"Maine"	"23"	"2013"	"2013"	245	1328302	18.4
	"Maine"	"23"	"2014"	"2014"	220	1330089	16.5
	"Maine"	"23"	"2015"	"2015"	235	1329328	17.7
	"Maine"	"23"	"2016"	"2016"	226	1331479	17.0
	"Maryland"	"24"	"1999"	"1999"	435	5254509	8.3
	"Maryland"	"24"	"2000"	"2000"	474	5296486	8.9
	"Maryland"	"24"	"2001"	"2001"	454	5374691	8.4
	"Maryland"	"24"	"2002"	"2002"	477	5440389	8.8
	"Maryland"	"24"	"2003"	"2003"	491	5496269	8.9
	"Maryland"	"24"	"2004"	"2004"	500	5546935	9.0
	"Maryland"	"24"	"2005"	"2005"	472	5592379	8.4
	"Maryland"	"24"	"2006"	"2006"	495	5627367	8.8
	"Maryland"	"24"	"2007"	"2007"	518	5653408	9.2
	"Maryland"	"24"	"2008"	"2008"	507	5684965	8.9
	"Maryland"	"24"	"2009"	"2009"	551	5730388	9.6
	"Maryland"	"24"	"2010"	"2010"	502	5773552	8.7
	"Maryland"	"24"	"2011"	"2011"	558	5828289	9.6
	"Maryland"	"24"	"2012"	"2012"	583	5884563	9.9
	"Maryland"	"24"	"2013"	"2013"	569	5928814	9.6
	"Maryland"	"24"	"2014"	"2014"	606	5976407	10.1
	"Maryland"	"24"	"2015"	"2015"	553	6006401	9.2
	"Maryland"	"24"	"2016"	"2016"	586	6016447	9.7
	"Massachusetts"	"25"	"1999"	"1999"	431	6317345	6.8
	"Massachusetts"	"25"	"2000"	"2000"	387	6349097	6.1
	"Massachusetts"	"25"	"2001"	"2001"	426	6397634	6.7
	"Massachusetts"	"25"	"2002"	"2002"	436	6417206	6.8
	"Massachusetts"	"25"	"2003"	"2003"	433	6422565	6.7
	"Massachusetts"	"25"	"2004"	"2004"	425	6412281	6.6
	"Massachusetts"	"25"	"2005"	"2005"	480	6403290	7.5
	"Massachusetts"	"25"	"2006"	"2006"	450	6410084	7.0
	"Massachusetts"	"25"	"2007"	"2007"	516	6431559	8.0
	"Massachusetts"	"25"	"2008"	"2008"	509	6468967	7.9
	"Massachusetts"	"25"	"2009"	"2009"	530	6517613	8.1
	"Massachusetts"	"25"	"2010"	"2010"	598	6547629	9.1
	"Massachusetts"	"25"	"2011"	"2011"	585	6587536	8.9
	"Massachusetts"	"25"	"2012"	"2012"	604	6646144	9.1
	"Massachusetts"	"25"	"2013"	"2013"	572	6692824	8.5
	"Massachusetts"	"25"	"2014"	"2014"	596	6745408	8.8
	"Massachusetts"	"25"	"2015"	"2015"	642	6794422	9.4
	"Massachusetts"	"25"	"2016"	"2016"	631	6811779	9.3
	"Michigan"	"26"	"1999"	"1999"	974	9897116	9.8
	"Michigan"	"26"	"2000"	"2000"	974	9938444	9.8
	"Michigan"	"26"	"2001"	"2001"	1051	9991120	10.5
	"Michigan"	"26"	"2002"	"2002"	1106	10015710	11.0
	"Michigan"	"26"	"2003"	"2003"	1029	10041152	10.2
	"Michigan"	"26"	"2004"	"2004"	1098	10055315	10.9
	"Michigan"	"26"	"2005"	"2005"	1108	10051137	11.0
	"Michigan"	"26"	"2006"	"2006"	1139	10036081	11.3
	"Michigan"	"26"	"2007"	"2007"	1131	10001284	11.3
	"Michigan"	"26"	"2008"	"2008"	1180	9946889	11.9
	"Michigan"	"26"	"2009"	"2009"	1169	9901591	11.8
	"Michigan"	"26"	"2010"	"2010"	1263	9883640	12.8
	"Michigan"	"26"	"2011"	"2011"	1221	9876187	12.4
	"Michigan"	"26"	"2012"	"2012"	1261	9883360	12.8
	"Michigan"	"26"	"2013"	"2013"	1295	9895622	13.1
	"Michigan"	"26"	"2014"	"2014"	1354	9909877	13.7
	"Michigan"	"26"	"2015"	"2015"	1410	9922576	14.2
	"Michigan"	"26"	"2016"	"2016"	1364	9928300	13.7
	"Minnesota"	"27"	"1999"	"1999"	437	4873481	9.0
	"Minnesota"	"27"	"2000"	"2000"	440	4919479	8.9
	"Minnesota"	"27"	"2001"	"2001"	480	4982796	9.6
	"Minnesota"	"27"	"2002"	"2002"	497	5018935	9.9
	"Minnesota"	"27"	"2003"	"2003"	497	5053572	9.8
	"Minnesota"	"27"	"2004"	"2004"	524	5087713	10.3
	"Minnesota"	"27"	"2005"	"2005"	547	5119598	10.7
	"Minnesota"	"27"	"2006"	"2006"	554	5163555	10.7
	"Minnesota"	"27"	"2007"	"2007"	572	5207203	11.0
	"Minnesota"	"27"	"2008"	"2008"	596	5247018	11.4
	"Minnesota"	"27"	"2009"	"2009"	584	5281203	11.1
	"Minnesota"	"27"	"2010"	"2010"	606	5303925	11.4
	"Minnesota"	"27"	"2011"	"2011"	683	5344861	12.8
	"Minnesota"	"27"	"2012"	"2012"	656	5379139	12.2
	"Minnesota"	"27"	"2013"	"2013"	678	5420380	12.5
	"Minnesota"	"27"	"2014"	"2014"	686	5457173	12.6
